name,class,logP,logD,Vd_Lkg,PPB,MW,ILE_score,ILE_prob,ILE_kategori,AD,kalibrasyonda,ref_etiket,klinik_not
sotalol,Kardiyak,1.0895000000000001,-0.9198109,1.2882292,21.913534,272.37,0.0,7.2,Düşük,ok,evet,non-responder,Hidrofilik BB
pyridostigmine,Tıbbi karbamat,0.5714999999999999,-0.97199476,2.323866,0.3185257,181.21499999999997,0.0,6.7,Düşük,ok,hayır,,
aspirin,Analjezik/Opioid,1.3101,-0.9874226,-2.7047992,63.297436,180.15899999999996,0.0,6.6,Düşük,ok,evet,non-responder,Alkalinizasyon/HD
pregabalin,Antikonvülzan,1.0821,-1.0004513,-2.796222,30.15835,159.229,0.0,6.5,Düşük,ok,evet,non-responder,
ethylene glycol,Toksik alkol/Kontrol,-1.0290000000000001,-1.0297887,3.2557683,6.5757475,62.068000000000005,0.0,6.2,Düşük,domain-kenarı (tahmin belirsiz),evet,non-responder,Fomepizol/HD
cytisine,Bitkisel alkaloid - nörotoksik/diğer,0.5549999999999999,-1.1009674,-1.7530434,7.2333574,190.24599999999998,0.0,5.7,Düşük,ok,hayır,,
atenolol,Kardiyak,0.45210000000000006,-1.3317196,-2.2590365,15.246504,266.34099999999995,0.0,4.2,Düşük,ok,evet,non-responder,Hidrofilik BB
gabapentin,Antikonvülzan,1.3702999999999994,-1.3309205,-4.525447,23.767841,171.23999999999992,0.0,4.2,Düşük,ok,evet,non-responder,
neostigmine,Tıbbi karbamat,1.9437,-1.5827348,-0.009021854,0.0,223.29599999999996,0.0,3.0,Düşük,ok,hayır,,
metformin,Kontrol (hidrofilik),-1.243829999999999,-1.7441984,-1.5045974,0.0,129.167,0.0,2.4,Düşük,ok,evet,non-responder,Hidrofilik; HD
glyphosate,Herbisit,-1.2042000000000002,-2.0975406,-0.9264423,27.728994,169.073,0.0,1.5,Düşük,ok,hayır,,
paraquat,Herbisit,1.0025999999999995,-2.5014637,15.7303295,0.0,186.258,0.0,0.9,Düşük,ok,hayır,,
