name,class,logP,logD,Vd_Lkg,PPB,MW,ILE_score,ILE_prob,ILE_kategori,AD,kalibrasyonda,ref_etiket,klinik_not
emetine,Bitkisel alkaloid - diğer,4.943400000000005,1.2925106,4.1839814,71.1264,480.64900000000034,32.4,62.7,Orta,ok,hayır,,
aconitine,Bitkisel alkaloid - kardiyotoksik,0.6481000000000043,1.2122247,8.280043,59.504387,645.7460000000003,25.6,60.1,Orta,domain-kenarı (tahmin belirsiz),hayır,,
lidocaine,Lokal anestezik,2.5837400000000006,1.1400583,5.4077845,37.5696,234.343,26.9,57.7,Orta,ok,evet,responder,
articaine,Lokal anestezik,2.16972,1.1318287,0.843699,62.433308,284.38100000000003,37.7,57.4,Orta,ok,hayır,,
flecainide,Kardiyak,3.4407000000000014,1.1233621,4.975398,53.766315,414.34600000000006,27.0,57.1,Orta,ok,evet,responder,
oxcarbazepine,Antikonvülzan,2.6422000000000008,1.0986512,-5.903531,68.03329,252.27299999999997,36.6,56.3,Orta,ok,hayır,,
lobeline,Bitkisel alkaloid - nörotoksik/diğer,4.236000000000003,1.0908467,0.52897656,62.38214,337.463,36.4,56.0,Orta,ok,hayır,,
strychnine,Bitkisel alkaloid - nörotoksik/diğer,2.0925000000000002,1.0300655,-0.49759308,47.518623,334.41900000000004,34.3,53.9,Orta,ok,hayır,,
zopiclone,Benzodiazepin/Sedatif,1.5679999999999998,1.0283521,3.2654762,62.884083,388.8150000000001,27.2,53.8,Orta,ok,hayır,,
aldicarb,Organofosfat/Karbamat,1.4698,1.005859,-1.9203491,30.544933,190.26799999999997,33.5,53.1,Orta,ok,hayır,,Atropin+pralidoksim
physostigmine,Tıbbi karbamat,1.7739,0.9564915,1.1945808,45.0193,275.352,30.9,51.3,Orta,ok,hayır,,
tabun,KBRN-sinir ajanı,1.25868,0.9299135,-2.6264071,26.869528,162.129,31.0,50.4,Orta,ok,hayır,,Atropin+oksim+benzo; ILE standart değil
prilocaine,Lokal anestezik,2.3216200000000002,0.9079089,0.63269836,47.759327,220.316,30.3,49.7,Orta,ok,hayır,,
VX,KBRN-sinir ajanı,3.6978000000000026,0.86466473,6.566825,17.166397,267.375,19.4,48.2,Orta,ok,hayır,,Atropin+oksim+benzo; ILE standart değil
topiramate,Antikonvülzan,-0.3953999999999982,0.84347486,2.1284118,41.31641,339.3660000000001,24.4,47.4,Orta,ok,hayır,,
ibuprofen,Analjezik/Opioid,3.073200000000001,0.8412649,-2.467538,81.41496,206.28499999999997,28.0,47.3,Orta,ok,hayır,,
colchicine,Diğer,2.871600000000001,0.8247825,-2.281902,56.52997,399.4430000000002,27.5,46.8,Orta,ok,evet,non-responder,
propranolol,Kardiyak,2.5775000000000006,0.82417095,4.4730215,66.00084,259.34900000000005,20.3,46.7,Orta,ok,evet,responder,
nitrogen mustard (HN2),KBRN-vezikan,1.3958,0.8225819,4.657068,23.88324,156.056,20.1,46.7,Orta,ok,hayır,,
cetirizine,Antihistaminik/Antikolinerjik,3.148200000000002,0.7829744,3.7709117,88.21438,388.8950000000002,20.1,45.3,Orta,ok,hayır,,
acetaminophen,Kontrol (hidrofilik),1.3505999999999998,0.77809006,-0.42244762,43.478,151.165,25.9,45.2,Orta,ok,evet,non-responder,NAC birincil
primaquine,Antimalaryal,2.782700000000001,0.75392425,18.165295,63.866936,259.35299999999995,15.1,44.3,Orta,ok,hayır,,
tramadol,Analjezik/Opioid,2.6346000000000007,0.7292694,0.8346774,40.57985,263.3809999999999,24.3,43.5,Orta,ok,hayır,,Nalokson; ILE deneysel
labetalol,Kardiyak,2.1353999999999997,0.7306586,3.8502274,61.303047,328.4120000000001,18.7,43.5,Orta,ok,hayır,,
cocaine,Sempatomimetik/Uyarıcı,1.8677,0.67718714,-1.6203285,55.099976,303.35800000000006,22.6,41.7,Orta,ok,evet,responder,
sarin,KBRN-sinir ajanı,2.2038,0.66060054,-2.3845348,11.515795,140.094,22.0,41.2,Orta,ok,hayır,,Atropin+oksim+benzo; ILE standart değil
naproxen,Analjezik/Opioid,3.036500000000001,0.64225703,-4.1441994,89.110374,230.26299999999998,21.4,40.5,Orta,ok,hayır,,
valproic acid,Antikonvülzan,2.2874,0.61118734,-2.0724366,50.579052,144.214,20.4,39.5,Düşük,ok,evet,non-responder,
tizanidine,Kas gevşetici,1.7157999999999993,0.58966124,0.44621593,64.206665,253.718,19.7,38.8,Düşük,ok,hayır,,
procaine,Lokal anestezik,1.7673999999999999,0.58256114,13.873795,36.903816,236.315,11.7,38.6,Düşük,ok,hayır,,
hydrocodone,Analjezik/Opioid,1.9333,0.56987774,-1.5760542,44.505287,299.37000000000006,19.0,38.1,Düşük,ok,hayır,,Nalokson; ILE deneysel
