name,logP,logD,Vd,PPB,MW,theory_score,ile_prob,category,ad_flag,rank
Bromothalonil,2.342,1.525,-0.699,50.22,265.9,50.8,69.9,Medium,ok,1308
Cerivastatin,4.881,1.523,-0.66,93.071,459.6,50.8,69.9,Medium,ok,1309
Losartan,4.267,1.523,-2.585,99.652,422.9,50.8,69.9,Medium,ok,1310
Cetrimonium,6.174,1.521,17.861,60.135,284.6,30.4,69.8,Medium,ok,1311
Mequinol,1.401,1.519,-0.682,51.437,124.1,50.6,69.8,Medium,ok,1312
Mephenytoin,1.474,1.522,-3.224,61.729,218.3,50.7,69.8,Medium,ok,1313
Bacampicillin,1.296,1.517,-0.843,72.992,465.5,50.6,69.7,Medium,ok,1314
Amobarbital,1.185,1.516,0.738,60.717,226.3,50.5,69.7,Medium,ok,1315
Propoxycaine,2.556,1.516,16.288,57.823,294.4,30.3,69.7,Medium,ok,1316
Tripelennamine,2.65,1.513,0.693,56.656,255.4,50.4,69.6,Medium,ok,1317
Laropiprant,4.39,1.512,-1.774,96.326,435.9,50.4,69.6,Medium,ok,1318
Phenacetin,2.044,1.515,1.821,58.505,179.2,45.2,69.6,Medium,ok,1319
Ranolazine,2.308,1.511,0.328,65.252,427.5,50.4,69.5,Medium,ok,1320
Iofetamine I-123,3.22,1.51,18.744,62.496,299.2,30.2,69.5,Medium,ok,1321
Etoposide,1.339,1.508,2.673,92.13,588.6,41.7,69.4,Medium,ok,1322
Lamotrigine,2.01,1.505,4.592,74.015,256.1,36.9,69.4,Medium,ok,1323
Cinnamyl alcohol,1.692,1.5,-0.413,53.601,134.2,50.0,69.2,Medium,ok,1324
Chlorobutanol,2.128,1.495,5.661,46.317,177.5,34.8,69.1,Medium,ok,1325
Hydrocortisone,1.782,1.488,0.784,65.176,362.5,49.6,68.9,Medium,ok,1326
Voriconazole,2.177,1.49,1.718,47.506,349.3,45.0,68.9,Medium,ok,1327
Norflurane,1.518,1.486,3.512,38.913,102.0,38.7,68.8,Medium,ok,1328
Cyanocobalamin Co-60,3.409,1.488,-6.179,71.942,1270.4,49.6,68.8,Medium,domain-edge (prediction unreliable),1329
Sulopenem etzadroxil,1.802,1.479,1.365,76.366,477.6,46.6,68.6,Medium,ok,1330
Ethchlorvynol,1.513,1.477,2.399,41.479,144.6,41.7,68.5,Medium,ok,1331
Prednisolone,1.558,1.473,1.199,65.989,360.5,47.5,68.4,Medium,ok,1332
Mepyramine,2.658,1.471,0.453,58.216,285.4,49.0,68.3,Medium,ok,1333
Dibenzepin,2.976,1.468,0.178,58.881,295.4,48.9,68.3,Medium,ok,1334
Alcloxa,-5.861,1.468,1.626,92.187,157.1,44.8,68.3,Medium,ok,1335
Dextromethorphan,3.383,1.469,1.286,59.321,271.4,46.8,68.3,Medium,ok,1336
Roxithromycin,2.21,1.467,8.751,45.385,837.1,30.5,68.2,Medium,domain-edge (prediction unreliable),1337
Carbinoxamine,3.403,1.465,10.606,59.048,290.8,29.3,68.2,Medium,ok,1338
Mivacurium,9.029,1.463,2.502,75.672,1029.3,41.0,68.1,Medium,domain-edge (prediction unreliable),1339
Cyclopenthiazide,1.598,1.463,1.202,86.611,379.9,47.2,68.1,Medium,ok,1340
Apremilast,2.434,1.463,-3.89,82.371,460.5,48.8,68.1,Medium,ok,1341
Iopanoic acid,3.736,1.463,9.814,93.249,570.9,29.4,68.1,Medium,ok,1342
Nicoboxil,2.055,1.46,2.244,51.723,223.3,41.8,68.0,Medium,ok,1343
Gefapixant,1.213,1.455,0.807,81.785,353.4,48.5,67.9,Medium,ok,1344
